Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
7/1/2016,39665,30074752,82871,56801553,179756,1316,139,1455
7/2/2016,35835,30110587,111151,56912704,179903,3596,314,3910
7/3/2016,35347,30145934,111116,57023820,180016,4095,169,4264
7/4/2016,34859,30180793,109745,57133565,180158,3826,155,3981
7/5/2016,43736,30224529,92107,57225672,180338,1357,160,1517
7/6/2016,51336,30275865,109240,57334912,180540,1288,153,1441
7/7/2016,48724,30324589,99975,57434887,180725,1255,113,1368
7/8/2016,44400,30368989,91632,57526519,180852,1258,152,1410
7/9/2016,38138,30407127,107359,57633878,180990,2844,145,2989
7/10/2016,41985,30449112,123282,57757160,181172,3280,137,3417
7/11/2016,52853,30501965,122260,57879420,181381,1440,211,1651
7/12/2016,56515,30558480,120414,57999834,181571,1472,192,1664
7/13/2016,55471,30613951,121029,58120863,181748,1510,146,1656
7/14/2016,50345,30664296,108541,58229404,181877,1326,126,1452
7/15/2016,48558,30712854,104701,58334105,182016,1709,173,1882
7/16/2016,38405,30751259,103429,58437534,182144,3281,122,3403
7/17/2016,41346,30792605,120635,58558169,182314,3440,153,3593
7/18/2016,43681,30836286,97216,58655385,182488,1062,154,1216
7/19/2016,54587,30890873,116806,58772191,182624,1498,139,1637
7/20/2016,57213,30948086,128799,58900990,182792,1601,158,1759
7/21/2016,54832,31002918,128476,59029466,182950,1553,161,1714
7/22/2016,49185,31052103,105666,59135132,183072,1701,176,1877
7/23/2016,37522,31089625,101810,59236942,183177,2932,138,3070
7/24/2016,39634,31129259,113680,59350622,183332,2966,114,3080
7/25/2016,35376,31164635,85145,59435767,183473,920,150,1070
7/26/2016,52904,31217539,108783,59544550,183595,1385,168,1553
7/27/2016,54148,31271687,115744,59660294,183731,1403,132,1535
7/28/2016,50134,31321821,98694,59758988,183846,1292,123,1415
7/29/2016,37693,31359514,81355,59840343,183937,1441,162,1603
7/30/2016,27780,31387294,72197,59912540,184039,2242,112,2354
7/31/2016,27651,31414945,70377,59982917,184157,1641,82,1723
8/1/2016,49395,31464340,101134,60084051,184325,1359,166,1525
8/2/2016,56744,31521084,116187,60200238,184558,1636,181,1817
8/3/2016,56992,31578076,118370,60318608,184766,1827,143,1970
8/4/2016,56587,31634663,118563,60437171,184960,1778,148,1926
8/5/2016,53286,31687949,116534,60553705,185186,2012,185,2197
8/6/2016,44209,31732158,125188,60678893,185436,4159,153,4312
8/7/2016,43631,31775789,116183,60795076,185682,3856,149,4005
8/8/2016,52251,31828040,115847,60910923,185956,1753,184,1937
8/9/2016,56101,31884141,114892,61025815,186223,1701,165,1866
8/10/2016,50100,31934241,101761,61127576,186401,1158,109,1267
8/11/2016,47420,31981661,93639,61221215,186596,1238,152,1390
8/12/2016,44729,32026390,90685,61311900,186771,1467,144,1611
8/13/2016,38903,32065293,100035,61411935,186990,3333,125,3458
8/14/2016,32961,32098254,74055,61485990,187173,2154,91,2245
8/15/2016,49056,32147310,107305,61593295,187394,1417,175,1592
8/16/2016,50411,32197721,103010,61696305,187601,1295,164,1459
8/17/2016,53983,32251704,113583,61809888,187820,1430,138,1568
8/18/2016,53209,32304913,115041,61924929,187998,1459,163,1622
8/19/2016,51658,32356571,110723,62035652,188186,1862,175,2037
8/20/2016,45808,32402379,138864,62174516,188499,4385,167,4552
8/21/2016,35041,32437420,96941,62271457,188725,2664,127,2791
8/22/2016,54201,32491621,118995,62390452,188996,1679,192,1871
8/23/2016,58665,32550286,127012,62517464,189297,1675,170,1845
8/24/2016,58134,32608420,127066,62644530,189577,1597,160,1757
8/25/2016,53480,32661900,111985,62756515,189856,1436,169,1605
8/26/2016,52026,32713926,112005,62868520,190156,1878,197,2075
8/27/2016,45673,32759599,120578,62989098,190480,3767,173,3940
8/28/2016,44639,32804238,121056,63110154,190844,3560,159,3719
8/29/2016,53279,32857517,115101,63225255,191255,1530,174,1704
8/30/2016,57392,32914909,121098,63346353,191713,1510,160,1670
8/31/2016,57200,32972109,118815,63465168,192380,1320,136,1456
9/1/2016,38174,33010283,77415,63542583,192592,714,104,818
9/2/2016,52999,33063282,126790,63669373,192814,2314,252,2566
9/3/2016,41629,33104911,117476,63786849,193055,4009,268,4277
9/4/2016,46020,33150931,140347,63927196,193326,5467,185,5652
9/5/2016,45431,33196362,118022,64045218,193677,3778,190,3968
9/6/2016,52432,33248794,108743,64153961,194065,1018,178,1196
9/7/2016,60278,33309072,130391,64284352,194396,1328,199,1527
9/8/2016,61551,33370623,130259,64414611,194674,1511,179,1690
9/9/2016,56804,33427427,118213,64532824,194908,1582,178,1760
9/10/2016,48454,33475881,127252,64660076,195189,3549,229,3778
9/11/2016,52238,33528119,136353,64796429,195499,3572,216,3788
9/12/2016,61083,33589202,127447,64923876,195832,1620,225,1845
9/13/2016,64818,33654020,135366,65059242,196122,1462,198,1660
9/14/2016,58928,33712948,121511,65180753,196388,1369,157,1526
9/15/2016,67312,33780260,140436,65321189,196637,1612,240,1852
9/16/2016,65257,33845517,145454,65466643,196886,2047,225,2272
9/17/2016,59199,33904716,154037,65620680,197163,5117,210,5327
9/18/2016,51685,33956401,131788,65752468,197449,3191,159,3350
9/19/2016,34205,33990606,67180,65819648,197620,555,101,656
9/20/2016,64881,34055487,135085,65954733,197880,1454,200,1654
9/21/2016,65453,34120940,142356,66097089,198118,1566,182,1748
9/22/2016,67762,34188702,146370,66243459,198363,1681,207,1888
9/23/2016,65499,34254201,142458,66385917,198577,2053,248,2301
9/24/2016,53258,34307459,137355,66523272,198827,3990,212,4202
9/25/2016,53563,34361022,143312,66666584,199198,3871,169,4040
9/26/2016,61120,34422142,128011,66794595,199480,1375,170,1545
9/27/2016,61334,34483476,122347,66916942,199739,1175,150,1325
9/28/2016,59456,34542932,120072,67037014,199989,931,107,1038
9/29/2016,55550,34598482,104364,67141378,200201,808,131,939
9/30/2016,21368,34619850,45194,67186572,200447,175,20,195
