Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
4/1/2018,33148,94040,257811,2363,264,2627
4/2/2018,22062,50418,257889,297,20,317
4/3/2018,25883,59477,257942,189,21,210
4/4/2018,36755,80049,258025,611,48,659
4/5/2018,39814,87382,258086,972,112,1084
4/6/2018,35624,83643,258143,918,101,1019
4/7/2018,33245,79955,258231,1661,129,1790
4/8/2018,28410,67056,258324,1271,75,1346
4/9/2018,40509,87612,258423,614,62,676
4/10/2018,43051,89629,258498,475,37,512
4/11/2018,48612,104081,258599,894,114,1008
4/12/2018,53168,114400,258754,1095,146,1241
4/13/2018,63503,150894,258926,3168,262,3430
4/14/2018,62595,185232,259171,7643,346,7989
4/15/2018,20440,58497,259252,525,21,546
4/16/2018,26288,65284,259344,452,31,483
4/17/2018,44689,104884,259470,589,85,674
4/18/2018,51110,112664,259583,996,152,1148
4/19/2018,38298,79890,259704,407,52,459
4/20/2018,47049,101982,259820,1241,133,1374
4/21/2018,63594,179681,260015,3142,214,3356
4/22/2018,54282,149532,260257,5399,265,5664
4/23/2018,57764,131224,260545,1976,191,2167
4/24/2018,58523,126491,260740,1529,159,1688
4/25/2018,31213,63086,260861,403,36,439
4/26/2018,66074,150788,261062,2578,294,2872
4/27/2018,39153,85566,261172,823,70,893
4/28/2018,56735,158334,261434,6129,369,6498
4/29/2018,44825,130649,261651,3594,266,3860
4/30/2018,41074,91215,261874,751,66,817
5/1/2018,72035,173896,262154,3155,390,3545
5/2/2018,76773,189852,262535,3270,329,3599
5/3/2018,69053,165326,262816,2931,282,3213
5/4/2018,71197,177291,263103,3595,360,3955
5/5/2018,63325,167568,263371,6557,334,6891
5/6/2018,48993,120205,263632,3484,289,3773
5/7/2018,68915,156297,263992,2973,311,3284
5/8/2018,74310,174749,264308,3046,356,3402
5/9/2018,78454,183295,264589,3038,303,3341
5/10/2018,67454,153260,264852,2408,275,2683
5/11/2018,75262,184114,265052,4240,314,4554
5/12/2018,34535,91563,265150,2227,92,2319
5/13/2018,25985,67247,265260,1237,58,1295
5/14/2018,64727,147144,265465,2553,273,2826
5/15/2018,52826,118790,265682,1949,186,2135
5/16/2018,32766,75694,265811,493,45,538
5/17/2018,49788,107763,265936,1755,113,1868
5/18/2018,63112,146437,266075,2663,240,2903
5/19/2018,18026,45461,266135,639,53,692
5/20/2018,56946,158983,266399,5458,304,5762
5/21/2018,71218,172936,266669,3551,267,3818
5/22/2018,48508,109420,266868,1090,103,1193
5/23/2018,72653,170812,267098,2952,294,3246
5/24/2018,74808,177631,267330,3417,294,3711
5/25/2018,69342,174715,267536,4381,336,4717
5/26/2018,51592,155957,267703,6129,417,6546
5/27/2018,25813,78075,267815,1631,82,1713
5/28/2018,49040,140226,268037,5148,267,5415
5/29/2018,69090,170334,268305,2896,249,3145
5/30/2018,72321,159297,268645,2742,216,2958
5/31/2018,55798,123710,268998,1414,101,1515
6/1/2018,62890,147780,269167,3049,250,3299
6/2/2018,60287,158528,269371,5634,307,5941
6/3/2018,50041,134416,269544,3892,154,4046
6/4/2018,58910,130774,269763,2372,166,2538
6/5/2018,71906,155007,269934,2682,199,2881
6/6/2018,69797,154726,270119,2479,173,2652
6/7/2018,70478,160532,270274,2808,198,3006
6/8/2018,72696,163188,270455,3915,283,4198
6/9/2018,65239,171623,270657,6917,292,7209
6/10/2018,41639,106867,270825,3136,112,3248
6/11/2018,68060,154381,271146,3044,243,3287
6/12/2018,76255,166828,271364,3260,215,3475
6/13/2018,64270,144934,271541,2044,104,2148
6/14/2018,75803,173109,271708,3359,227,3586
6/15/2018,72417,160081,271883,4005,296,4301
6/16/2018,63182,165240,272071,7037,339,7376
6/17/2018,56218,146611,272306,5760,232,5992
6/18/2018,63551,136481,272522,2498,206,2704
6/19/2018,72168,153883,272780,2902,230,3132
6/20/2018,74088,165836,272950,2929,231,3160
6/21/2018,70050,158375,273114,3026,262,3288
6/22/2018,71084,156062,273291,3736,263,3999
6/23/2018,51028,118620,273422,4172,207,4379
6/24/2018,55775,152057,273615,5862,232,6094
6/25/2018,71747,163026,273820,3441,221,3662
6/26/2018,80643,171973,274006,3442,254,3696
6/27/2018,67647,140557,274165,2457,183,2640
6/28/2018,50431,104860,274290,1967,154,2121
6/29/2018,69856,151785,274467,3940,326,4266
6/30/2018,54713,134347,274628,5425,360,5785
