Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
10/1/18,71387,120257,290631,2618,307
10/2/18,73113,122234,290788,2666,195
10/3/18,76769,129720,290947,3141,199
10/4/18,70698,116337,291073,2838,222
10/5/18,74744,129597,291166,3979,254
10/6/18,57599,110421,291298,5658,310
10/7/18,60753,127033,291425,6936,277
10/8/18,58256,95097,291549,2865,121
10/9/18,74251,123973,291672,2846,207
10/10/18,77317,132255,291765,3115,202
10/11/18,46862,70173,291862,1323,59
10/12/18,67686,113055,291962,3453,255
10/13/18,54747,100652,292029,2430,125
10/14/18,54297,103697,292158,4805,204
10/15/18,59181,92219,292262,1958,95
10/16/18,66661,104171,292370,2200,158
10/17/18,67868,107762,292469,2341,134
10/18/18,61668,94356,292519,1969,143
10/19/18,64735,105730,292604,3012,192
10/20/18,56281,109142,292711,5644,309
10/21/18,39192,64764,292811,2488,100
10/22/18,57919,88293,292899,1721,133
10/23/18,68086,110293,292992,2356,181
10/24/18,64203,98615,293077,1942,97
10/25/18,61637,95827,293309,2003,146
10/26/18,59861,92569,293508,2292,131
10/27/18,13124,17949,293542,333,11
10/28/18,42502,74540,293611,3134,154
10/29/18,60028,92882,293722,1853,156
10/30/18,65545,102834,293819,1957,141
10/31/18,68447,114102,294007,2544,225
11/1/18,74258,1740,294111,3288,245
